"","x","y","Regions","Species.richness","Phylogenetic.diversity","Functional.diversity","Functional.Phylognetic.diversity"
"428",3850000,1750000,12,NA,NA,NA,NA
"429",3950000,1750000,12,NA,NA,NA,NA
"430",4150000,1750000,12,NA,NA,NA,NA
"431",4250000,1750000,12,NA,NA,NA,NA
"432",4350000,1750000,12,NA,NA,NA,NA
"433",4450000,1750000,12,NA,NA,NA,NA
"434",4550000,1750000,12,NA,NA,NA,NA
"435",4650000,1750000,12,NA,NA,NA,NA
"436",-3350000,1650000,3,NA,NA,NA,NA
"437",-3250000,1650000,3,NA,NA,NA,NA
"438",-3150000,1650000,3,NA,NA,NA,NA
"439",-3050000,1650000,3,NA,NA,NA,NA
"440",-2950000,1650000,3,NA,NA,NA,NA
"441",-2850000,1650000,3,NA,NA,NA,NA
"442",-2750000,1650000,3,NA,NA,NA,NA
"443",-2650000,1650000,3,NA,NA,NA,NA
"444",-2550000,1650000,3,0.188405797101449,0.441450411865858,0.845215350579396,1.91463260167085
"445",-2450000,1650000,3,0.202898550724638,0.442886676989462,0.846448843739893,1.91120864030876
"446",-2350000,1650000,3,0.202898550724638,0.442886676989462,0.846448843739893,1.91120864030876
"447",-2250000,1650000,3,0.202898550724638,0.442886676989462,0.846448843739893,1.91120864030876
"448",-2150000,1650000,3,0.202898550724638,0.442886676989462,0.846448843739893,1.91120864030876
"449",-2050000,1650000,3,0.231884057971014,0.464866534925293,0.848274482949334,1.82476994840176
"450",-1950000,1650000,3,0.260869565217391,0.48322580852093,0.853692131137575,1.76665260026276
"451",-1850000,1650000,3,0.231884057971014,0.419535406493085,0.834966243061361,1.99021639208209
"452",750000,1650000,3,NA,NA,NA,NA
